id,name,country,category,created_at
1,奇瑞汽车,中国,自主,2026-08-30 16:19:31
2,东风本田,中国,合资,2026-08-30 16:19:31
3,吉利银河,中国,自主,2026-08-30 16:19:31
4,北汽新能源,中国,自主,2026-08-30 16:19:31
5,北京奔驰,中国,豪华,2026-08-30 16:19:31
6,赛力斯汽车,中国,新势力,2026-08-30 16:19:31
7,一汽-大众,中国,合资,2026-08-30 16:19:31
8,北京汽车,中国,自主,2026-08-30 16:19:31
9,小鹏汽车,中国,新势力,2026-08-30 16:19:31
10,广汽丰田,中国,合资,2026-08-30 16:19:31
11,华晨宝马,中国,豪华,2026-08-30 16:19:31
12,奇瑞新能源,中国,自主,2026-08-30 16:19:31
13,特斯拉中国,中国,豪华,2026-08-30 16:19:31
14,广汽埃安,中国,新势力,2026-08-30 16:19:31
15,零跑汽车,中国,新势力,2026-08-30 16:19:31
16,上汽大众,中国,合资,2026-08-30 16:19:31
17,上汽通用五菱,中国,自主,2026-08-30 16:19:31
18,吉利汽车,中国,自主,2026-08-30 16:19:31
19,小米汽车,中国,新势力,2026-08-30 16:19:31
20,上汽集团,中国,自主,2026-08-30 16:19:31
21,长安启源,中国,自主,2026-08-30 16:19:31
22,一汽丰田,中国,合资,2026-08-30 16:19:31
23,理想汽车,中国,新势力,2026-08-30 16:19:31
24,比亚迪,中国,自主,2026-08-30 16:19:31
25,方程豹,中国,新势力,2026-08-30 16:19:31
26,蔚来,中国,新势力,2026-08-30 16:19:31
