id,brand_id,name,series,year,energy_type,body_type,guide_price_min,guide_price_max,source,source_url,created_at,avg_price,price_range,is_new_energy,total_sales
1,3,星愿,星愿,2024,纯电动,轿车,5.98,9.18,,,2026-08-30 16:19:31,7.58,5-10万,True,32306
2,15,零跑A10,零跑A10,2024,纯电动,SUV,6.58,8.68,,,2026-08-30 16:19:31,7.63,5-10万,True,26424
3,13,Model Y,Model Y,2024,燃油,SUV,26.35,31.35,,,2026-08-30 16:19:31,28.85,20-30万,False,25158
4,19,小米SU7,小米SU7,2024,纯电动,轿车,21.99,30.39,,,2026-08-30 16:19:31,26.189999999999998,20-30万,True,21044
5,24,元UP,元UP,2024,纯电动,SUV,6.98,10.48,,,2026-08-30 16:19:31,8.73,5-10万,True,20275
6,21,长安启源Q05,长安启源Q05,2024,插电混动,SUV,6.99,10.99,,,2026-08-30 16:19:31,8.99,5-10万,True,18871
7,23,理想i6,理想i6,2024,增程式,SUV,24.98,26.98,,,2026-08-30 16:19:31,25.98,20-30万,True,15420
8,22,卡罗拉锐放,卡罗拉锐放,2024,燃油,SUV,9.38,12.68,,,2026-08-30 16:19:31,11.030000000000001,5-10万,False,14510
9,24,海豚,海豚,2024,纯电动,轿车,7.48,11.78,,,2026-08-30 16:19:31,9.629999999999999,5-10万,True,13910
10,24,宋Pro DM,宋Pro DM,2024,插电混动,SUV,9.78,12.99,,,2026-08-30 16:19:31,11.385,5-10万,True,13757
11,22,RAV4荣放,RAV4荣放,2024,燃油,SUV,14.68,20.58,,,2026-08-30 16:19:31,17.63,10-15万,False,13360
12,20,MG4,MG4,2024,纯电动,轿车,6.58,9.98,,,2026-08-30 16:19:31,8.280000000000001,5-10万,True,13157
13,18,博越L,博越L,2024,燃油,SUV,9.29,11.99,,,2026-08-30 16:19:31,10.64,5-10万,False,13121
14,16,朗逸,朗逸,2024,燃油,轿车,6.29,11.29,,,2026-08-30 16:19:31,8.79,5-10万,False,12982
15,18,星越L,星越L,2024,燃油,SUV,12.47,16.47,,,2026-08-30 16:19:31,14.469999999999999,10-15万,False,12399
16,17,缤果Pro,缤果Pro,2024,纯电动,轿车,5.68,7.08,,,2026-08-30 16:19:31,6.38,5-10万,True,12225
17,10,凯美瑞,凯美瑞,2024,燃油,轿车,13.18,25.98,,,2026-08-30 16:19:31,19.58,10-15万,False,11532
18,7,速腾,速腾,2024,燃油,轿车,7.98,13.19,,,2026-08-30 16:19:31,10.585,5-10万,False,11352
19,14,AION i60,AION i60,2024,纯电动,SUV,10.28,13.08,,,2026-08-30 16:19:31,11.68,10-15万,True,11186
20,25,钛7 PHEV,钛7 PHEV,2024,插电混动,SUV,17.98,22.58,,,2026-08-30 16:19:31,20.28,15-20万,True,10820
21,12,QQ3 EV,QQ3 EV,2024,纯电动,轿车,5.89,7.89,,,2026-08-30 16:19:31,6.89,5-10万,True,10780
22,7,探岳,探岳,2024,燃油,SUV,12.99,22.99,,,2026-08-30 16:19:31,17.99,10-15万,False,10747
23,16,途观L,途观L,2024,燃油,SUV,12.99,21.38,,,2026-08-30 16:19:31,17.185,10-15万,False,10524
24,17,五菱宏光MINIEV,五菱宏光MINIEV,2024,纯电动,轿车,3.58,5.28,,,2026-08-30 16:19:31,4.43,5万以下,True,10458
25,11,宝马3系,宝马3系,2024,燃油,轿车,20.6,39.99,,,2026-08-30 16:19:31,30.295,20-30万,False,10355
26,26,蔚来ES8,蔚来ES8,2024,纯电动,SUV,38.28,44.68,,,2026-08-30 16:19:31,41.480000000000004,30-50万,True,10284
27,7,迈腾,迈腾,2024,燃油,轿车,11.99,21.19,,,2026-08-30 16:19:31,16.59,10-15万,False,10269
28,9,小鹏MONA M03,小鹏MONA M03,2024,纯电动,轿车,11.98,15.18,,,2026-08-30 16:19:31,13.58,10-15万,True,10237
29,19,小米YU7,小米YU7,2024,纯电动,SUV,23.35,38.99,,,2026-08-30 16:19:31,31.17,20-30万,True,10223
30,15,零跑C10,零跑C10,2024,纯电动,SUV,11.38,14.28,,,2026-08-30 16:19:31,12.83,10-15万,True,10053
31,15,零跑D19,零跑D19,2024,纯电动,SUV,21.98,26.98,,,2026-08-30 16:19:31,24.48,20-30万,True,10043
32,6,问界M9,问界M9,2024,纯电动,SUV,47.98,65.98,,,2026-08-30 16:19:31,56.980000000000004,30-50万,True,9639
33,10,锋兰达,锋兰达,2024,燃油,SUV,9.38,13.38,,,2026-08-30 16:19:31,11.38,5-10万,False,9637
34,25,钛7 EV,钛7 EV,2024,纯电动,SUV,19.98,23.98,,,2026-08-30 16:19:31,21.98,15-20万,True,9500
35,16,帕萨特,帕萨特,2024,燃油,轿车,13.95,28.98,,,2026-08-30 16:19:31,21.465,10-15万,False,9466
36,24,元PLUS,元PLUS,2024,纯电动,SUV,10.98,14.99,,,2026-08-30 16:19:31,12.985,10-15万,True,9246
37,18,缤越,缤越,2024,燃油,SUV,5.88,8.58,,,2026-08-30 16:19:31,7.23,5-10万,False,9218
38,5,奔驰E级,奔驰E级,2024,燃油,轿车,30.5,52.3,,,2026-08-30 16:19:31,41.4,30-50万,False,9200
39,10,铂智3X,铂智3X,2024,燃油,SUV,9.48,15.98,,,2026-08-30 16:19:31,12.73,5-10万,False,9010
40,1,智界V9,智界V9,2024,纯电动,轿车,38.98,51.98,,,2026-08-30 16:19:31,45.48,30-50万,True,8974
41,24,海狮06EV,海狮06EV,2024,纯电动,SUV,13.78,17.99,,,2026-08-30 16:19:31,15.884999999999998,10-15万,True,8892
42,24,海鸥,海鸥,2024,纯电动,轿车,6.08,7.99,,,2026-08-30 16:19:31,7.035,5-10万,True,8879
43,10,威兰达,威兰达,2024,燃油,SUV,13.88,19.98,,,2026-08-30 16:19:31,16.93,10-15万,False,8845
44,15,零跑B10,零跑B10,2024,纯电动,SUV,9.28,12.58,,,2026-08-30 16:19:31,10.93,5-10万,True,8731
45,4,极狐贝塔T1,极狐贝塔T1,2024,纯电动,轿车,5.98,8.48,,,2026-08-30 16:19:31,7.23,5-10万,True,8628
46,1,瑞虎8,瑞虎8,2024,燃油,SUV,7.99,11.99,,,2026-08-30 16:19:31,9.99,5-10万,False,8618
47,22,亚洲龙,亚洲龙,2024,燃油,轿车,13.38,20.58,,,2026-08-30 16:19:31,16.98,10-15万,False,8237
48,2,本田CR-V,本田CR-V,2024,燃油,SUV,13.79,20.99,,,2026-08-30 16:19:31,17.39,10-15万,False,8102
49,8,北京越野BJ30,北京越野BJ30,2024,燃油,SUV,6.99,10.99,,,2026-08-30 16:19:31,8.99,5-10万,False,8093
50,24,海狮05EV,海狮05EV,2024,纯电动,SUV,11.18,14.59,,,2026-08-30 16:19:31,12.885,10-15万,True,8088
