id,model_id,overall_score,appearance_score,interior_score,power_score,space_score,fuel_score,handling_score,comfort_score,value_score,review_count,created_at
1,1,4.8,4.8,4.8,4.7,5.0,4.7,4.8,5.0,4.9,2247,2026-08-30 16:19:31
2,2,4.2,4.0,3.9,4.4,4.1,3.7,4.1,4.0,4.4,1652,2026-08-30 16:19:31
3,3,3.6,3.9,3.4,3.8,3.9,3.4,3.3,3.6,4.0,754,2026-08-30 16:19:31
4,4,3.6,3.8,3.7,3.6,3.8,3.3,3.8,3.7,4.0,2271,2026-08-30 16:19:31
5,5,4.0,3.9,3.8,3.9,4.0,3.9,4.1,3.8,3.8,3967,2026-08-30 16:19:31
6,6,4.2,4.2,4.0,4.4,4.3,3.7,3.9,4.0,4.0,2676,2026-08-30 16:19:31
7,7,4.5,4.8,4.4,4.5,4.2,4.7,4.6,4.3,4.5,2868,2026-08-30 16:19:31
8,8,4.2,4.5,4.1,4.3,4.4,4.0,4.4,3.9,4.2,4709,2026-08-30 16:19:31
9,9,3.8,4.0,3.8,4.1,4.0,3.6,3.6,3.7,4.1,4136,2026-08-30 16:19:31
10,10,3.9,3.7,3.7,3.8,4.2,4.1,4.1,3.8,4.1,1071,2026-08-30 16:19:31
11,11,4.5,4.3,4.7,4.7,4.3,4.6,4.5,4.2,4.8,3238,2026-08-30 16:19:31
12,12,3.9,4.1,3.6,4.1,3.9,4.2,3.9,3.6,4.2,3457,2026-08-30 16:19:31
13,13,4.2,4.0,4.3,4.2,4.0,3.8,4.1,4.4,3.9,228,2026-08-30 16:19:31
14,14,4.6,4.4,4.6,4.7,4.4,4.3,4.9,4.9,4.5,3071,2026-08-30 16:19:31
15,15,3.9,3.6,4.1,3.7,4.1,3.5,3.8,3.8,3.9,3561,2026-08-30 16:19:31
16,16,4.2,4.0,4.2,4.3,4.2,4.0,4.2,4.0,4.0,4535,2026-08-30 16:19:31
17,17,4.4,4.5,4.4,4.4,4.1,4.3,4.3,4.2,4.6,3663,2026-08-30 16:19:31
18,18,4.4,4.3,4.3,4.6,4.1,4.0,4.6,4.5,4.3,1711,2026-08-30 16:19:31
19,19,4.6,4.6,4.5,4.5,4.5,4.5,4.6,4.4,4.4,1014,2026-08-30 16:19:31
20,20,3.6,3.5,3.2,3.7,3.5,3.8,3.5,3.5,3.6,2231,2026-08-30 16:19:31
21,21,3.9,3.8,3.6,4.1,3.8,3.9,3.9,3.8,3.7,3114,2026-08-30 16:19:31
22,22,3.8,3.8,3.5,4.1,4.0,3.9,3.8,4.0,4.1,1740,2026-08-30 16:19:31
23,23,4.8,4.5,4.9,5.0,4.5,4.3,4.7,5.0,4.7,4619,2026-08-30 16:19:31
24,24,3.9,4.1,3.6,3.7,4.1,3.9,3.7,4.0,3.6,1981,2026-08-30 16:19:31
25,25,4.5,4.4,4.2,4.5,4.3,4.2,4.4,4.4,4.7,1988,2026-08-30 16:19:31
26,26,3.9,3.8,3.6,3.8,3.8,3.7,3.9,3.7,4.0,4023,2026-08-30 16:19:31
27,27,4.2,4.0,4.2,4.0,4.3,4.1,4.2,4.4,4.3,1635,2026-08-30 16:19:31
28,28,3.7,3.7,3.4,3.7,3.5,3.7,3.8,3.5,3.5,2582,2026-08-30 16:19:31
29,29,3.9,4.0,3.7,3.7,4.1,3.7,4.1,4.0,3.6,1561,2026-08-30 16:19:31
30,30,3.7,3.5,3.5,3.7,3.9,3.3,3.9,3.7,3.8,470,2026-08-30 16:19:31
31,31,3.7,3.7,3.4,3.6,3.8,3.2,4.0,3.4,3.6,876,2026-08-30 16:19:31
32,32,4.5,4.5,4.7,4.5,4.4,4.4,4.7,4.8,4.6,4230,2026-08-30 16:19:31
33,33,4.1,4.1,4.2,4.0,4.4,4.3,4.3,3.8,4.2,3709,2026-08-30 16:19:31
34,34,4.8,5.0,4.6,4.9,5.0,4.8,5.0,5.0,5.0,3942,2026-08-30 16:19:31
35,35,4.7,4.8,4.8,4.6,4.8,4.7,4.5,4.6,4.6,4739,2026-08-30 16:19:31
36,36,3.6,3.4,3.6,3.9,3.6,3.2,3.6,3.8,3.6,1115,2026-08-30 16:19:31
37,37,3.9,3.6,3.6,3.8,4.1,4.1,4.1,3.8,4.3,3289,2026-08-30 16:19:31
38,38,3.7,3.5,3.4,3.7,3.9,3.9,3.6,3.5,3.6,4943,2026-08-30 16:19:31
39,39,3.6,3.7,3.5,3.7,3.8,3.5,3.8,3.5,3.7,2118,2026-08-30 16:19:31
40,40,3.5,3.4,3.5,3.8,3.4,3.5,3.6,3.5,3.6,248,2026-08-30 16:19:31
41,41,3.7,3.6,3.6,3.9,3.6,3.4,4.0,3.7,3.6,1301,2026-08-30 16:19:31
42,42,4.5,4.6,4.7,4.6,4.2,4.6,4.3,4.7,4.5,4732,2026-08-30 16:19:31
