id,model_id,year,month,sales_volume,yoy_growth,mom_growth,ranking,created_at
1,1,2026,7,32306,0.0,0.0,1,2026-08-30 16:19:31
2,2,2026,7,26424,0.0,0.0,2,2026-08-30 16:19:31
3,3,2026,7,25158,0.0,0.0,3,2026-08-30 16:19:31
4,4,2026,7,21044,0.0,0.0,4,2026-08-30 16:19:31
5,5,2026,7,20275,0.0,0.0,5,2026-08-30 16:19:31
6,6,2026,7,18871,0.0,0.0,6,2026-08-30 16:19:31
7,7,2026,7,15420,0.0,0.0,7,2026-08-30 16:19:31
8,8,2026,7,14510,0.0,0.0,8,2026-08-30 16:19:31
9,9,2026,7,13910,0.0,0.0,9,2026-08-30 16:19:31
10,10,2026,7,13757,0.0,0.0,10,2026-08-30 16:19:31
11,11,2026,7,13360,0.0,0.0,11,2026-08-30 16:19:31
12,12,2026,7,13157,0.0,0.0,12,2026-08-30 16:19:31
13,13,2026,7,13121,0.0,0.0,13,2026-08-30 16:19:31
14,14,2026,7,12982,0.0,0.0,14,2026-08-30 16:19:31
15,15,2026,7,12399,0.0,0.0,15,2026-08-30 16:19:31
16,16,2026,7,12225,0.0,0.0,16,2026-08-30 16:19:31
17,17,2026,7,11532,0.0,0.0,17,2026-08-30 16:19:31
18,18,2026,7,11352,0.0,0.0,18,2026-08-30 16:19:31
19,19,2026,7,11186,0.0,0.0,19,2026-08-30 16:19:31
20,20,2026,7,10820,0.0,0.0,20,2026-08-30 16:19:31
21,21,2026,7,10780,0.0,0.0,21,2026-08-30 16:19:31
22,22,2026,7,10747,0.0,0.0,22,2026-08-30 16:19:31
23,23,2026,7,10524,0.0,0.0,23,2026-08-30 16:19:31
24,24,2026,7,10458,0.0,0.0,24,2026-08-30 16:19:31
25,25,2026,7,10355,0.0,0.0,25,2026-08-30 16:19:31
26,26,2026,7,10284,0.0,0.0,26,2026-08-30 16:19:31
27,27,2026,7,10269,0.0,0.0,27,2026-08-30 16:19:31
28,28,2026,7,10237,0.0,0.0,28,2026-08-30 16:19:31
29,29,2026,7,10223,0.0,0.0,29,2026-08-30 16:19:31
30,30,2026,7,10053,0.0,0.0,30,2026-08-30 16:19:31
31,31,2026,7,10043,0.0,0.0,31,2026-08-30 16:19:31
32,32,2026,7,9639,0.0,0.0,32,2026-08-30 16:19:31
33,33,2026,7,9637,0.0,0.0,33,2026-08-30 16:19:31
34,34,2026,7,9500,0.0,0.0,34,2026-08-30 16:19:31
35,35,2026,7,9466,0.0,0.0,35,2026-08-30 16:19:31
36,36,2026,7,9246,0.0,0.0,36,2026-08-30 16:19:31
37,37,2026,7,9218,0.0,0.0,37,2026-08-30 16:19:31
38,38,2026,7,9200,0.0,0.0,38,2026-08-30 16:19:31
39,39,2026,7,9010,0.0,0.0,39,2026-08-30 16:19:31
40,40,2026,7,8974,0.0,0.0,40,2026-08-30 16:19:31
41,41,2026,7,8892,0.0,0.0,41,2026-08-30 16:19:31
42,42,2026,7,8879,0.0,0.0,42,2026-08-30 16:19:31
43,43,2026,7,8845,0.0,0.0,43,2026-08-30 16:19:31
44,44,2026,7,8731,0.0,0.0,44,2026-08-30 16:19:31
45,45,2026,7,8628,0.0,0.0,45,2026-08-30 16:19:31
46,46,2026,7,8618,0.0,0.0,46,2026-08-30 16:19:31
47,47,2026,7,8237,0.0,0.0,47,2026-08-30 16:19:31
48,48,2026,7,8102,0.0,0.0,48,2026-08-30 16:19:31
49,49,2026,7,8093,0.0,0.0,49,2026-08-30 16:19:31
50,50,2026,7,8088,0.0,0.0,50,2026-08-30 16:19:31
