id,model_id,engine_type,displacement,horsepower,torque,transmission,drive_type,length,width,height,wheelbase,curb_weight,fuel_consumption,battery_capacity,range_km,acceleration_100,top_speed,created_at
1,1,纯电动,2.0,351,351,单速固定齿比变速箱,四驱,5025.0,1967.0,1522.0,3057.0,2073.0,7.3,82.3,556.0,4.5,249,2026-08-30 16:19:31
2,2,纯电动,2.0,249,478,单速固定齿比变速箱,后驱,4977.0,1906.0,1528.0,2859.0,2198.0,7.3,76.3,715.0,5.4,209,2026-08-30 16:19:31
3,3,涡轮增压,2.5,134,191,7DCT,后驱,4794.0,1880.0,1641.0,2655.0,1630.0,7.4,79.4,568.0,9.1,224,2026-08-30 16:19:31
4,4,纯电动,2.0,281,440,单速固定齿比变速箱,后驱,4664.0,1894.0,1647.0,3085.0,1968.0,7.3,66.2,584.0,4.2,215,2026-08-30 16:19:31
5,5,纯电动,2.0,334,391,单速固定齿比变速箱,四驱,4867.0,1890.0,1585.0,2966.0,2111.0,7.3,77.3,530.0,5.8,194,2026-08-30 16:19:31
6,6,插电混动,1.5,248,414,E-CVT,前驱,4828.0,1853.0,1629.0,2746.0,1844.0,4.5,31.0,101.0,6.5,184,2026-08-30 16:19:31
7,7,增程式,1.5,237,345,单速固定齿比变速箱,后驱,5165.0,1944.0,1714.0,3093.0,2460.0,7.8,35.2,241.0,5.0,185,2026-08-30 16:19:31
8,8,涡轮增压,2.5,170,221,7DCT,前驱,4969.0,1840.0,1560.0,2789.0,1494.0,7.5,79.4,568.0,7.6,192,2026-08-30 16:19:31
9,9,纯电动,2.0,375,307,单速固定齿比变速箱,后驱,4870.0,1921.0,1490.0,3012.0,2274.0,7.3,91.4,619.0,6.5,231,2026-08-30 16:19:31
10,10,插电混动,1.5,202,433,E-CVT,四驱,4710.0,1874.0,1581.0,2749.0,1789.0,5.5,31.9,136.0,6.0,196,2026-08-30 16:19:31
11,11,涡轮增压,2.5,153,196,CVT,四驱,4816.0,1907.0,1586.0,2676.0,1795.0,9.0,79.4,568.0,9.3,240,2026-08-30 16:19:31
12,12,纯电动,2.0,376,320,单速固定齿比变速箱,后驱,4956.0,1958.0,1465.0,2976.0,1890.0,7.3,68.7,553.0,4.0,205,2026-08-30 16:19:31
13,13,涡轮增压,2.5,216,340,CVT,后驱,4943.0,1889.0,1554.0,2691.0,1611.0,6.3,79.4,568.0,9.4,192,2026-08-30 16:19:31
14,14,涡轮增压,2.0,206,275,8AT,四驱,4755.0,1938.0,1572.0,2795.0,1525.0,7.3,79.4,568.0,8.4,198,2026-08-30 16:19:31
15,15,涡轮增压,2.0,170,199,8AT,前驱,4861.0,1833.0,1558.0,2721.0,1811.0,6.8,79.4,568.0,8.0,206,2026-08-30 16:19:31
16,16,纯电动,2.0,341,326,单速固定齿比变速箱,四驱,4865.0,1868.0,1557.0,2805.0,1802.0,7.3,81.4,721.0,3.5,186,2026-08-30 16:19:31
17,17,涡轮增压,2.0,236,161,CVT,前驱,4830.0,1884.0,1512.0,2745.0,1675.0,7.3,79.4,568.0,9.5,217,2026-08-30 16:19:31
18,18,涡轮增压,2.5,190,368,7DCT,前驱,4877.0,1940.0,1571.0,2784.0,1840.0,8.6,79.4,568.0,8.7,202,2026-08-30 16:19:31
19,19,纯电动,2.0,319,419,单速固定齿比变速箱,后驱,5042.0,1918.0,1483.0,3065.0,2058.0,7.3,94.4,583.0,5.7,218,2026-08-30 16:19:31
20,20,插电混动,1.5,196,355,E-CVT,前驱,4832.0,1893.0,1661.0,2726.0,2036.0,5.0,24.9,191.0,5.0,194,2026-08-30 16:19:31
21,21,纯电动,2.0,317,372,单速固定齿比变速箱,四驱,4661.0,1951.0,1500.0,2928.0,1910.0,7.3,66.6,752.0,5.0,219,2026-08-30 16:19:31
22,22,涡轮增压,2.0,218,390,7DCT,前驱,4631.0,1866.0,1673.0,2806.0,1703.0,9.3,79.4,568.0,9.4,208,2026-08-30 16:19:31
23,23,涡轮增压,2.0,154,352,CVT,前驱,4801.0,1877.0,1487.0,2701.0,1853.0,6.8,79.4,568.0,8.2,191,2026-08-30 16:19:31
24,24,纯电动,2.0,387,324,单速固定齿比变速箱,四驱,5027.0,1902.0,1544.0,3066.0,2248.0,7.3,69.1,647.0,6.2,239,2026-08-30 16:19:31
25,25,涡轮增压,1.5,127,236,7DCT,前驱,4720.0,1845.0,1638.0,2811.0,1830.0,9.0,79.4,568.0,9.4,210,2026-08-30 16:19:31
26,26,纯电动,2.0,231,450,单速固定齿比变速箱,后驱,4841.0,1873.0,1578.0,3010.0,1956.0,7.3,63.7,617.0,4.5,222,2026-08-30 16:19:31
27,27,涡轮增压,1.5,153,307,CVT,前驱,4545.0,1818.0,1527.0,2727.0,1536.0,6.1,79.4,568.0,9.6,215,2026-08-30 16:19:31
28,28,纯电动,2.0,239,480,单速固定齿比变速箱,四驱,4705.0,1920.0,1615.0,2894.0,1860.0,7.3,81.7,518.0,5.3,181,2026-08-30 16:19:31
29,29,纯电动,2.0,221,318,单速固定齿比变速箱,后驱,4760.0,1857.0,1600.0,3030.0,2118.0,7.3,77.3,580.0,4.7,219,2026-08-30 16:19:31
30,30,纯电动,2.0,289,314,单速固定齿比变速箱,后驱,4805.0,1951.0,1572.0,2950.0,2276.0,7.3,88.9,533.0,5.5,234,2026-08-30 16:19:31
31,31,纯电动,2.0,395,356,单速固定齿比变速箱,后驱,4843.0,1967.0,1502.0,2992.0,1857.0,7.3,91.2,510.0,4.9,206,2026-08-30 16:19:31
32,32,纯电动,2.0,374,330,单速固定齿比变速箱,四驱,4986.0,1936.0,1630.0,2899.0,1945.0,7.3,77.4,529.0,4.1,186,2026-08-30 16:19:31
33,33,涡轮增压,1.5,195,352,CVT,后驱,4543.0,1879.0,1530.0,2713.0,1673.0,9.1,79.4,568.0,8.2,219,2026-08-30 16:19:31
34,34,纯电动,2.0,384,316,单速固定齿比变速箱,后驱,4776.0,1921.0,1539.0,3043.0,2052.0,7.3,86.0,552.0,3.8,240,2026-08-30 16:19:31
35,35,涡轮增压,1.5,191,321,7DCT,前驱,4701.0,1884.0,1521.0,2706.0,1600.0,7.3,79.4,568.0,8.9,201,2026-08-30 16:19:31
36,36,纯电动,2.0,287,490,单速固定齿比变速箱,后驱,5058.0,1896.0,1569.0,2856.0,2233.0,7.3,94.8,764.0,6.4,184,2026-08-30 16:19:31
37,37,涡轮增压,2.0,163,296,7DCT,后驱,4948.0,1847.0,1695.0,2878.0,1855.0,7.8,79.4,568.0,9.2,206,2026-08-30 16:19:31
38,38,涡轮增压,2.5,240,382,8AT,后驱,4849.0,1848.0,1684.0,2822.0,1834.0,8.6,79.4,568.0,8.3,207,2026-08-30 16:19:31
39,39,涡轮增压,2.0,216,254,8AT,四驱,4604.0,1855.0,1601.0,2720.0,1732.0,6.8,79.4,568.0,7.2,217,2026-08-30 16:19:31
40,40,纯电动,2.0,212,406,单速固定齿比变速箱,四驱,5020.0,1919.0,1512.0,2870.0,1805.0,7.3,92.3,588.0,3.7,225,2026-08-30 16:19:31
41,41,纯电动,2.0,216,370,单速固定齿比变速箱,四驱,4954.0,1956.0,1620.0,2873.0,2132.0,7.3,98.3,545.0,4.0,247,2026-08-30 16:19:31
42,42,纯电动,2.0,358,370,单速固定齿比变速箱,四驱,4656.0,1922.0,1585.0,3018.0,1826.0,7.3,98.3,789.0,3.9,212,2026-08-30 16:19:31
43,43,涡轮增压,1.5,168,367,8AT,前驱,4996.0,1865.0,1675.0,2824.0,1480.0,7.5,79.4,568.0,7.3,202,2026-08-30 16:19:31
44,44,纯电动,2.0,327,483,单速固定齿比变速箱,四驱,5086.0,1977.0,1623.0,2887.0,2052.0,7.3,92.1,510.0,3.7,205,2026-08-30 16:19:31
45,45,纯电动,2.0,324,432,单速固定齿比变速箱,四驱,4856.0,1964.0,1635.0,3079.0,2105.0,7.3,66.4,716.0,4.5,241,2026-08-30 16:19:31
46,46,涡轮增压,2.0,231,189,8AT,四驱,4948.0,1888.0,1564.0,2848.0,1521.0,9.5,79.4,568.0,9.3,215,2026-08-30 16:19:31
47,47,涡轮增压,2.5,161,381,8AT,前驱,4677.0,1839.0,1501.0,2855.0,1540.0,6.2,79.4,568.0,9.0,198,2026-08-30 16:19:31
48,48,涡轮增压,1.5,154,309,8AT,后驱,4710.0,1837.0,1558.0,2819.0,1706.0,6.6,79.4,568.0,8.0,211,2026-08-30 16:19:31
49,49,涡轮增压,2.0,240,151,7DCT,后驱,4822.0,1925.0,1495.0,2850.0,1667.0,7.0,79.4,568.0,9.0,195,2026-08-30 16:19:31
