year,month,rank,model,brand,body_type,price_min,price_max,sales
2026,1,1,小米YU7,,,23.35,38.99,37869
2026,1,2,博越L,,,9.29,11.99,34176
2026,1,3,星愿,,,5.98,9.18,29007
2026,1,4,问界M7,,,27.98,38.98,26454
2026,1,5,速腾,,,7.98,13.19,25316
2026,1,6,轩逸,,,6.19,14.19,24209
2026,1,7,星越L,,,12.47,16.17,23815
2026,1,8,朗逸,,,6,9.39,23481
2026,1,9,途观L,,,11.58,24.68,21330
2026,1,10,帕萨特,,,11.65,26.28,20799
2026,2,1,星愿,,,5.98,9.18,27362
2026,2,2,Model Y,,,26.35,31.35,25286
2026,2,3,小米YU7,,,23.35,38.99,20196
2026,2,4,博越L,,,9.29,11.99,19363
2026,2,5,朗逸,,,6,9.39,16111
2026,2,6,理想i6,,,24.98,26.98,16007
2026,2,7,长安CS75 PLUS,,,9.19,13.59,14219
2026,2,8,帕萨特,,,11.65,26.28,13988
2026,2,9,速腾,,,7.98,13.19,13803
2026,2,10,瑞虎8,,,7.99,11.99,13488
2026,3,1,Model Y,,,26.35,31.35,39827
2026,3,2,星愿,,,5.98,9.18,30953
2026,3,3,轩逸,,,6.19,14.19,28093
2026,3,4,理想i6,,,24.98,26.98,24198
2026,3,5,元UP,,,6.78,10.28,21538
2026,3,6,朗逸,,,6,9.39,19939
2026,3,7,博越L,,,9.29,11.99,17402
2026,3,8,海豚,,,9.18,11.78,17291
2026,3,9,凯美瑞,,,12.98,21.98,17069
2026,3,10,速腾,,,7.98,13.19,16891
2026,4,1,星愿,,,5.98,9.18,34727
2026,4,2,小米SU7,,,21.99,30.39,26826
2026,4,3,Model Y,,,26.35,31.35,22990
2026,4,4,理想i6,,,24.98,26.98,21024
2026,4,5,长安启源Q05,,,6.99,10.99,15814
2026,4,6,海狮06EV,,,14.38,17.99,15659
2026,4,7,元UP,,,6.78,10.28,15658
2026,4,8,缤越,,,5.88,8.58,14923
2026,4,9,零跑A10,,,6.58,8.68,14372
2026,4,10,海豚,,,9.18,11.78,14218
2026,5,1,星愿,,,5.98,9.18,38751
2026,5,2,Model Y,,,26.35,31.35,28911
2026,5,3,小米SU7,,,21.99,30.39,24023
2026,5,4,零跑A10,,,6.58,8.68,22306
2026,5,5,理想i6,,,24.98,26.98,20878
2026,5,6,Model 3,,,23.55,33.95,18370
2026,5,7,五菱宏光MINIEV,,,3.28,5.28,18308
2026,5,8,问界M6,,,22.98,29.98,18148
2026,5,9,元UP,,,6.78,10.28,17043
2026,5,10,钛7 PHEV,,,17.98,22.58,16247
2026,6,1,Model Y,,,26.35,31.35,38654
2026,6,2,星愿,,,5.98,9.18,33359
2026,6,3,零跑A10,,,6.58,8.68,24865
2026,6,4,理想i6,,,24.98,26.98,21453
2026,6,5,小米SU7,,,21.99,30.39,20414
2026,6,6,长安启源Q05,,,6.99,10.99,18908
2026,6,7,元UP,,,6.78,10.28,17945
2026,6,8,宋Pro DM,,,9.58,12.99,17439
2026,6,9,凯美瑞,,,12.98,21.98,17114
2026,6,10,朗逸,,,6,9.39,15444
2026,7,1,星愿,,,5.98,9.18,32306
2026,7,2,零跑A10,,,6.58,8.68,26424
2026,7,3,Model Y,,,26.35,31.35,25158
2026,7,4,小米SU7,,,21.99,30.39,21044
2026,7,5,元UP,,,6.78,10.28,20275
2026,7,6,长安启源Q05,,,6.99,10.99,18871
2026,7,7,理想i6,,,24.98,26.98,15420
2026,7,8,卡罗拉锐放,,,9.38,12.68,14510
2026,7,9,海豚,,,9.18,11.78,13910
2026,7,10,宋Pro DM,,,9.58,12.99,13757
