brand_id,brand_name,brand_category,brand_country,model_count,total_sales
1,奇瑞汽车,自主,中国,7,0
2,东风本田,合资,中国,1,0
3,吉利银河,自主,中国,1,0
4,北汽新能源,自主,中国,1,0
5,北京奔驰,豪华,中国,1,0
6,赛力斯汽车,新势力,中国,1,0
7,一汽-大众,合资,中国,3,0
8,北京汽车,自主,中国,1,0
9,小鹏汽车,新势力,中国,1,0
10,广汽丰田,合资,中国,4,0
11,华晨宝马,豪华,中国,1,0
12,奇瑞新能源,自主,中国,1,0
13,特斯拉中国,豪华,中国,1,0
14,广汽埃安,新势力,中国,1,0
15,零跑汽车,新势力,中国,4,0
16,上汽大众,合资,中国,3,0
17,上汽通用五菱,自主,中国,2,0
18,吉利汽车,自主,中国,3,0
19,小米汽车,新势力,中国,2,0
20,上汽集团,自主,中国,1,0
21,长安启源,自主,中国,1,0
22,一汽丰田,合资,中国,3,0
23,理想汽车,新势力,中国,1,0
24,比亚迪,自主,中国,7,0
25,方程豹,新势力,中国,2,0
26,蔚来,新势力,中国,1,0
