model_id,brand_id,brand_name,brand_category,model_name,series,year,energy_type,body_type,guide_price_min,guide_price_max,avg_price,horsepower,torque,fuel_consumption,range_km,length,width,height,wheelbase,overall_score,value_score,total_sales
1,3,吉利银河,自主,星愿,星愿,2024.0,纯电动,轿车,5.98,9.18,7.58,351.0,351.0,,556.0,5025.0,1967.0,1522.0,3057.0,4.8,4.9,0
2,15,零跑汽车,新势力,零跑A10,零跑A10,2024.0,纯电动,SUV,6.58,8.68,7.63,249.0,478.0,,715.0,4977.0,1906.0,1528.0,2859.0,4.2,4.4,0
3,13,特斯拉中国,豪华,Model Y,Model Y,2024.0,燃油,SUV,26.35,31.35,28.85,134.0,191.0,7.4,,4794.0,1880.0,1641.0,2655.0,3.6,4.0,0
4,19,小米汽车,新势力,小米SU7,小米SU7,2024.0,纯电动,轿车,21.99,30.39,26.189999999999998,281.0,440.0,,584.0,4664.0,1894.0,1647.0,3085.0,3.6,4.0,0
5,24,比亚迪,自主,元UP,元UP,2024.0,纯电动,SUV,6.98,10.48,8.73,334.0,391.0,,530.0,4867.0,1890.0,1585.0,2966.0,4.0,3.8,0
6,21,长安启源,自主,长安启源Q05,长安启源Q05,2024.0,插电混动,SUV,6.99,10.99,8.99,248.0,414.0,4.5,101.0,4828.0,1853.0,1629.0,2746.0,4.2,4.0,0
7,23,理想汽车,新势力,理想i6,理想i6,2024.0,增程式,SUV,24.98,26.98,25.98,237.0,345.0,7.8,241.0,5165.0,1944.0,1714.0,3093.0,4.5,4.5,0
8,22,一汽丰田,合资,卡罗拉锐放,卡罗拉锐放,2024.0,燃油,SUV,9.38,12.68,11.030000000000001,170.0,221.0,7.5,,4969.0,1840.0,1560.0,2789.0,4.2,4.2,0
9,24,比亚迪,自主,海豚,海豚,2024.0,纯电动,轿车,7.48,11.78,9.629999999999999,375.0,307.0,,619.0,4870.0,1921.0,1490.0,3012.0,3.8,4.1,0
10,24,比亚迪,自主,宋Pro DM,宋Pro DM,2024.0,插电混动,SUV,9.78,12.99,11.385,202.0,433.0,5.5,136.0,4710.0,1874.0,1581.0,2749.0,3.9,4.1,0
11,22,一汽丰田,合资,RAV4荣放,RAV4荣放,2024.0,燃油,SUV,14.68,20.58,17.63,153.0,196.0,9.0,,4816.0,1907.0,1586.0,2676.0,4.5,4.8,0
12,20,上汽集团,自主,MG4,MG4,2024.0,纯电动,轿车,6.58,9.98,8.280000000000001,376.0,320.0,,553.0,4956.0,1958.0,1465.0,2976.0,3.9,4.2,0
13,18,吉利汽车,自主,博越L,博越L,2024.0,燃油,SUV,9.29,11.99,10.64,216.0,340.0,6.3,,4943.0,1889.0,1554.0,2691.0,4.2,3.9,0
14,16,上汽大众,合资,朗逸,朗逸,2024.0,燃油,轿车,6.29,11.29,8.79,206.0,275.0,7.3,,4755.0,1938.0,1572.0,2795.0,4.6,4.5,0
15,18,吉利汽车,自主,星越L,星越L,2024.0,燃油,SUV,12.47,16.47,14.469999999999999,170.0,199.0,6.8,,4861.0,1833.0,1558.0,2721.0,3.9,3.9,0
16,17,上汽通用五菱,自主,缤果Pro,缤果Pro,2024.0,纯电动,轿车,5.68,7.08,6.38,341.0,326.0,,721.0,4865.0,1868.0,1557.0,2805.0,4.2,4.0,0
17,10,广汽丰田,合资,凯美瑞,凯美瑞,2024.0,燃油,轿车,13.18,25.98,19.58,236.0,161.0,7.3,,4830.0,1884.0,1512.0,2745.0,4.4,4.6,0
18,7,一汽-大众,合资,速腾,速腾,2024.0,燃油,轿车,7.98,13.19,10.585,190.0,368.0,8.6,,4877.0,1940.0,1571.0,2784.0,4.4,4.3,0
19,14,广汽埃安,新势力,AION i60,AION i60,2024.0,纯电动,SUV,10.28,13.08,11.68,319.0,419.0,,583.0,5042.0,1918.0,1483.0,3065.0,4.6,4.4,0
20,25,方程豹,新势力,钛7 PHEV,钛7 PHEV,2024.0,插电混动,SUV,17.98,22.58,20.28,196.0,355.0,5.0,191.0,4832.0,1893.0,1661.0,2726.0,3.6,3.6,0
21,12,奇瑞新能源,自主,QQ3 EV,QQ3 EV,2024.0,纯电动,轿车,5.89,7.89,6.89,317.0,372.0,,752.0,4661.0,1951.0,1500.0,2928.0,3.9,3.7,0
22,7,一汽-大众,合资,探岳,探岳,2024.0,燃油,SUV,12.99,22.99,17.99,218.0,390.0,9.3,,4631.0,1866.0,1673.0,2806.0,3.8,4.1,0
23,16,上汽大众,合资,途观L,途观L,2024.0,燃油,SUV,12.99,21.38,17.185,154.0,352.0,6.8,,4801.0,1877.0,1487.0,2701.0,4.8,4.7,0
24,17,上汽通用五菱,自主,五菱宏光MINIEV,五菱宏光MINIEV,2024.0,纯电动,轿车,3.58,5.28,4.43,387.0,324.0,,647.0,5027.0,1902.0,1544.0,3066.0,3.9,3.6,0
25,11,华晨宝马,豪华,宝马3系,宝马3系,2024.0,燃油,轿车,20.6,39.99,30.295,127.0,236.0,9.0,,4720.0,1845.0,1638.0,2811.0,4.5,4.7,0
26,26,蔚来,新势力,蔚来ES8,蔚来ES8,2024.0,纯电动,SUV,38.28,44.68,41.480000000000004,231.0,450.0,,617.0,4841.0,1873.0,1578.0,3010.0,3.9,4.0,0
27,7,一汽-大众,合资,迈腾,迈腾,2024.0,燃油,轿车,11.99,21.19,16.59,153.0,307.0,6.1,,4545.0,1818.0,1527.0,2727.0,4.2,4.3,0
28,9,小鹏汽车,新势力,小鹏MONA M03,小鹏MONA M03,2024.0,纯电动,轿车,11.98,15.18,13.58,239.0,480.0,,518.0,4705.0,1920.0,1615.0,2894.0,3.7,3.5,0
29,19,小米汽车,新势力,小米YU7,小米YU7,2024.0,纯电动,SUV,23.35,38.99,31.17,221.0,318.0,,580.0,4760.0,1857.0,1600.0,3030.0,3.9,3.6,0
30,15,零跑汽车,新势力,零跑C10,零跑C10,2024.0,纯电动,SUV,11.38,14.28,12.83,289.0,314.0,,533.0,4805.0,1951.0,1572.0,2950.0,3.7,3.8,0
31,15,零跑汽车,新势力,零跑D19,零跑D19,2024.0,纯电动,SUV,21.98,26.98,24.48,395.0,356.0,,510.0,4843.0,1967.0,1502.0,2992.0,3.7,3.6,0
32,6,赛力斯汽车,新势力,问界M9,问界M9,2024.0,纯电动,SUV,47.98,65.98,56.980000000000004,374.0,330.0,,529.0,4986.0,1936.0,1630.0,2899.0,4.5,4.6,0
