model_id,brand_id,brand_name,model_name,series,year,energy_type,body_type,guide_price_min,guide_price_max,avg_price
1,3,吉利银河,星愿,星愿,2024.0,纯电动,轿车,5.98,9.18,7.58
2,15,零跑汽车,零跑A10,零跑A10,2024.0,纯电动,SUV,6.58,8.68,7.63
3,13,特斯拉中国,Model Y,Model Y,2024.0,燃油,SUV,26.35,31.35,28.85
4,19,小米汽车,小米SU7,小米SU7,2024.0,纯电动,轿车,21.99,30.39,26.189999999999998
5,24,比亚迪,元UP,元UP,2024.0,纯电动,SUV,6.98,10.48,8.73
6,21,长安启源,长安启源Q05,长安启源Q05,2024.0,插电混动,SUV,6.99,10.99,8.99
7,23,理想汽车,理想i6,理想i6,2024.0,增程式,SUV,24.98,26.98,25.98
8,22,一汽丰田,卡罗拉锐放,卡罗拉锐放,2024.0,燃油,SUV,9.38,12.68,11.030000000000001
9,24,比亚迪,海豚,海豚,2024.0,纯电动,轿车,7.48,11.78,9.629999999999999
10,24,比亚迪,宋Pro DM,宋Pro DM,2024.0,插电混动,SUV,9.78,12.99,11.385
11,22,一汽丰田,RAV4荣放,RAV4荣放,2024.0,燃油,SUV,14.68,20.58,17.63
12,20,上汽集团,MG4,MG4,2024.0,纯电动,轿车,6.58,9.98,8.280000000000001
13,18,吉利汽车,博越L,博越L,2024.0,燃油,SUV,9.29,11.99,10.64
14,16,上汽大众,朗逸,朗逸,2024.0,燃油,轿车,6.29,11.29,8.79
15,18,吉利汽车,星越L,星越L,2024.0,燃油,SUV,12.47,16.47,14.469999999999999
16,17,上汽通用五菱,缤果Pro,缤果Pro,2024.0,纯电动,轿车,5.68,7.08,6.38
17,10,广汽丰田,凯美瑞,凯美瑞,2024.0,燃油,轿车,13.18,25.98,19.58
18,7,一汽-大众,速腾,速腾,2024.0,燃油,轿车,7.98,13.19,10.585
19,14,广汽埃安,AION i60,AION i60,2024.0,纯电动,SUV,10.28,13.08,11.68
20,25,方程豹,钛7 PHEV,钛7 PHEV,2024.0,插电混动,SUV,17.98,22.58,20.28
21,12,奇瑞新能源,QQ3 EV,QQ3 EV,2024.0,纯电动,轿车,5.89,7.89,6.89
22,7,一汽-大众,探岳,探岳,2024.0,燃油,SUV,12.99,22.99,17.99
23,16,上汽大众,途观L,途观L,2024.0,燃油,SUV,12.99,21.38,17.185
24,17,上汽通用五菱,五菱宏光MINIEV,五菱宏光MINIEV,2024.0,纯电动,轿车,3.58,5.28,4.43
25,11,华晨宝马,宝马3系,宝马3系,2024.0,燃油,轿车,20.6,39.99,30.295
26,26,蔚来,蔚来ES8,蔚来ES8,2024.0,纯电动,SUV,38.28,44.68,41.480000000000004
27,7,一汽-大众,迈腾,迈腾,2024.0,燃油,轿车,11.99,21.19,16.59
28,9,小鹏汽车,小鹏MONA M03,小鹏MONA M03,2024.0,纯电动,轿车,11.98,15.18,13.58
29,19,小米汽车,小米YU7,小米YU7,2024.0,纯电动,SUV,23.35,38.99,31.17
30,15,零跑汽车,零跑C10,零跑C10,2024.0,纯电动,SUV,11.38,14.28,12.83
31,15,零跑汽车,零跑D19,零跑D19,2024.0,纯电动,SUV,21.98,26.98,24.48
32,6,赛力斯汽车,问界M9,问界M9,2024.0,纯电动,SUV,47.98,65.98,56.980000000000004
33,10,广汽丰田,锋兰达,锋兰达,2024.0,燃油,SUV,9.38,13.38,11.38
34,25,方程豹,钛7 EV,钛7 EV,2024.0,纯电动,SUV,19.98,23.98,21.98
35,16,上汽大众,帕萨特,帕萨特,2024.0,燃油,轿车,13.95,28.98,21.465
36,24,比亚迪,元PLUS,元PLUS,2024.0,纯电动,SUV,10.98,14.99,12.985
37,18,吉利汽车,缤越,缤越,2024.0,燃油,SUV,5.88,8.58,7.23
38,5,北京奔驰,奔驰E级,奔驰E级,2024.0,燃油,轿车,30.5,52.3,41.4
39,10,广汽丰田,铂智3X,铂智3X,2024.0,燃油,SUV,9.48,15.98,12.73
40,1,奇瑞汽车,智界V9,智界V9,2024.0,纯电动,轿车,38.98,51.98,45.48
41,24,比亚迪,海狮06EV,海狮06EV,2024.0,纯电动,SUV,13.78,17.99,15.884999999999998
42,24,比亚迪,海鸥,海鸥,2024.0,纯电动,轿车,6.08,7.99,7.035
43,10,广汽丰田,威兰达,威兰达,2024.0,燃油,SUV,13.88,19.98,16.93
44,15,零跑汽车,零跑B10,零跑B10,2024.0,纯电动,SUV,9.28,12.58,10.93
45,4,北汽新能源,极狐贝塔T1,极狐贝塔T1,2024.0,纯电动,轿车,5.98,8.48,7.23
46,1,奇瑞汽车,瑞虎8,瑞虎8,2024.0,燃油,SUV,7.99,11.99,9.99
47,22,一汽丰田,亚洲龙,亚洲龙,2024.0,燃油,轿车,13.38,20.58,16.98
48,2,东风本田,本田CR-V,本田CR-V,2024.0,燃油,SUV,13.79,20.99,17.39
49,8,北京汽车,北京越野BJ30,北京越野BJ30,2024.0,燃油,SUV,6.99,10.99,8.99
50,24,比亚迪,海狮05EV,海狮05EV,2024.0,纯电动,SUV,11.18,14.59,12.885
51,1,奇瑞汽车,问界M7,,,燃油,,27.98,38.98,33.48
52,1,奇瑞汽车,轩逸,,,燃油,,6.19,14.19,10.19
53,1,奇瑞汽车,长安CS75 PLUS,,,燃油,,9.19,13.59,11.39
54,1,奇瑞汽车,Model 3,,,燃油,,23.55,33.95,28.75
55,1,奇瑞汽车,问界M6,,,燃油,,22.98,29.98,26.48
