model_id,overall_score,appearance_score,interior_score,power_score,space_score,fuel_score,handling_score,comfort_score,value_score,review_count
1,4.8,4.8,4.8,4.7,5.0,4.7,4.8,5.0,4.9,2247
2,4.2,4.0,3.9,4.4,4.1,3.7,4.1,4.0,4.4,1652
3,3.6,3.9,3.4,3.8,3.9,3.4,3.3,3.6,4.0,754
4,3.6,3.8,3.7,3.6,3.8,3.3,3.8,3.7,4.0,2271
5,4.0,3.9,3.8,3.9,4.0,3.9,4.1,3.8,3.8,3967
6,4.2,4.2,4.0,4.4,4.3,3.7,3.9,4.0,4.0,2676
7,4.5,4.8,4.4,4.5,4.2,4.7,4.6,4.3,4.5,2868
8,4.2,4.5,4.1,4.3,4.4,4.0,4.4,3.9,4.2,4709
9,3.8,4.0,3.8,4.1,4.0,3.6,3.6,3.7,4.1,4136
10,3.9,3.7,3.7,3.8,4.2,4.1,4.1,3.8,4.1,1071
11,4.5,4.3,4.7,4.7,4.3,4.6,4.5,4.2,4.8,3238
12,3.9,4.1,3.6,4.1,3.9,4.2,3.9,3.6,4.2,3457
13,4.2,4.0,4.3,4.2,4.0,3.8,4.1,4.4,3.9,228
14,4.6,4.4,4.6,4.7,4.4,4.3,4.9,4.9,4.5,3071
15,3.9,3.6,4.1,3.7,4.1,3.5,3.8,3.8,3.9,3561
16,4.2,4.0,4.2,4.3,4.2,4.0,4.2,4.0,4.0,4535
17,4.4,4.5,4.4,4.4,4.1,4.3,4.3,4.2,4.6,3663
18,4.4,4.3,4.3,4.6,4.1,4.0,4.6,4.5,4.3,1711
19,4.6,4.6,4.5,4.5,4.5,4.5,4.6,4.4,4.4,1014
20,3.6,3.5,3.2,3.7,3.5,3.8,3.5,3.5,3.6,2231
21,3.9,3.8,3.6,4.1,3.8,3.9,3.9,3.8,3.7,3114
22,3.8,3.8,3.5,4.1,4.0,3.9,3.8,4.0,4.1,1740
23,4.8,4.5,4.9,5.0,4.5,4.3,4.7,5.0,4.7,4619
24,3.9,4.1,3.6,3.7,4.1,3.9,3.7,4.0,3.6,1981
25,4.5,4.4,4.2,4.5,4.3,4.2,4.4,4.4,4.7,1988
26,3.9,3.8,3.6,3.8,3.8,3.7,3.9,3.7,4.0,4023
27,4.2,4.0,4.2,4.0,4.3,4.1,4.2,4.4,4.3,1635
28,3.7,3.7,3.4,3.7,3.5,3.7,3.8,3.5,3.5,2582
29,3.9,4.0,3.7,3.7,4.1,3.7,4.1,4.0,3.6,1561
30,3.7,3.5,3.5,3.7,3.9,3.3,3.9,3.7,3.8,470
31,3.7,3.7,3.4,3.6,3.8,3.2,4.0,3.4,3.6,876
32,4.5,4.5,4.7,4.5,4.4,4.4,4.7,4.8,4.6,4230
33,4.1,4.1,4.2,4.0,4.4,4.3,4.3,3.8,4.2,3709
34,4.8,5.0,4.6,4.9,5.0,4.8,5.0,5.0,5.2,3942
35,4.7,4.8,4.8,4.6,4.8,4.7,4.5,4.6,4.6,4739
36,3.6,3.4,3.6,3.9,3.6,3.2,3.6,3.8,3.6,1115
37,3.9,3.6,3.6,3.8,4.1,4.1,4.1,3.8,4.3,3289
38,3.7,3.5,3.4,3.7,3.9,3.9,3.6,3.5,3.6,4943
39,3.6,3.7,3.5,3.7,3.8,3.5,3.8,3.5,3.7,2118
40,3.5,3.4,3.5,3.8,3.4,3.5,3.6,3.5,3.6,248
41,3.7,3.6,3.6,3.9,3.6,3.4,4.0,3.7,3.6,1301
42,4.5,4.6,4.7,4.6,4.2,4.6,4.3,4.7,4.5,4732
43,4.0,4.0,4.0,4.3,4.1,3.6,4.3,3.8,4.1,2938
44,3.5,3.3,3.7,3.7,3.5,3.0,3.5,3.5,3.9,484
45,4.9,5.1,4.5,4.9,5.1,5.1,5.1,5.1,4.8,1322
46,4.1,4.1,4.0,3.8,4.3,4.1,4.2,4.4,4.1,4355
47,4.1,4.2,3.7,4.1,4.2,4.1,4.4,4.0,4.2,3062
48,3.8,3.8,3.4,3.6,3.8,3.5,3.7,3.8,3.9,2300
49,4.2,4.0,4.1,3.9,4.0,4.5,4.2,4.3,4.4,439
50,4.7,4.4,4.9,4.9,4.8,4.8,4.9,4.5,4.6,3925
