model_id,engine_type,displacement,horsepower,torque,transmission,drive_type,length,width,height,wheelbase,curb_weight,fuel_consumption,battery_capacity,range_km,acceleration_100,top_speed
1,纯电动,,351,351,单速固定齿比变速箱,四驱,5025.0,1967.0,1522.0,3057.0,2073.0,,82.3,556.0,4.5,249
2,纯电动,,249,478,单速固定齿比变速箱,后驱,4977.0,1906.0,1528.0,2859.0,2198.0,,76.3,715.0,5.4,209
3,涡轮增压,2.5,134,191,7DCT,后驱,4794.0,1880.0,1641.0,2655.0,1630.0,7.4,,,9.1,224
4,纯电动,,281,440,单速固定齿比变速箱,后驱,4664.0,1894.0,1647.0,3085.0,1968.0,,66.2,584.0,4.2,215
5,纯电动,,334,391,单速固定齿比变速箱,四驱,4867.0,1890.0,1585.0,2966.0,2111.0,,77.3,530.0,5.8,194
6,插电混动,1.5,248,414,E-CVT,前驱,4828.0,1853.0,1629.0,2746.0,1844.0,4.5,31.0,101.0,6.5,184
7,增程式,1.5,237,345,单速固定齿比变速箱,后驱,5165.0,1944.0,1714.0,3093.0,2460.0,7.8,35.2,241.0,5.0,185
8,涡轮增压,2.5,170,221,7DCT,前驱,4969.0,1840.0,1560.0,2789.0,1494.0,7.5,,,7.6,192
9,纯电动,,375,307,单速固定齿比变速箱,后驱,4870.0,1921.0,1490.0,3012.0,2274.0,,91.4,619.0,6.5,231
10,插电混动,1.5,202,433,E-CVT,四驱,4710.0,1874.0,1581.0,2749.0,1789.0,5.5,31.9,136.0,6.0,196
11,涡轮增压,2.5,153,196,CVT,四驱,4816.0,1907.0,1586.0,2676.0,1795.0,9.0,,,9.3,240
12,纯电动,,376,320,单速固定齿比变速箱,后驱,4956.0,1958.0,1465.0,2976.0,1890.0,,68.7,553.0,4.0,205
13,涡轮增压,2.5,216,340,CVT,后驱,4943.0,1889.0,1554.0,2691.0,1611.0,6.3,,,9.4,192
14,涡轮增压,2.0,206,275,8AT,四驱,4755.0,1938.0,1572.0,2795.0,1525.0,7.3,,,8.4,198
15,涡轮增压,2.0,170,199,8AT,前驱,4861.0,1833.0,1558.0,2721.0,1811.0,6.8,,,8.0,206
16,纯电动,,341,326,单速固定齿比变速箱,四驱,4865.0,1868.0,1557.0,2805.0,1802.0,,81.4,721.0,3.5,186
17,涡轮增压,2.0,236,161,CVT,前驱,4830.0,1884.0,1512.0,2745.0,1675.0,7.3,,,9.5,217
18,涡轮增压,2.5,190,368,7DCT,前驱,4877.0,1940.0,1571.0,2784.0,1840.0,8.6,,,8.7,202
19,纯电动,,319,419,单速固定齿比变速箱,后驱,5042.0,1918.0,1483.0,3065.0,2058.0,,94.4,583.0,5.7,218
20,插电混动,1.5,196,355,E-CVT,前驱,4832.0,1893.0,1661.0,2726.0,2036.0,5.0,24.9,191.0,5.0,194
21,纯电动,,317,372,单速固定齿比变速箱,四驱,4661.0,1951.0,1500.0,2928.0,1910.0,,66.6,752.0,5.0,219
22,涡轮增压,2.0,218,390,7DCT,前驱,4631.0,1866.0,1673.0,2806.0,1703.0,9.3,,,9.4,208
23,涡轮增压,2.0,154,352,CVT,前驱,4801.0,1877.0,1487.0,2701.0,1853.0,6.8,,,8.2,191
24,纯电动,,387,324,单速固定齿比变速箱,四驱,5027.0,1902.0,1544.0,3066.0,2248.0,,69.1,647.0,6.2,239
25,涡轮增压,1.5,127,236,7DCT,前驱,4720.0,1845.0,1638.0,2811.0,1830.0,9.0,,,9.4,210
26,纯电动,,231,450,单速固定齿比变速箱,后驱,4841.0,1873.0,1578.0,3010.0,1956.0,,63.7,617.0,4.5,222
27,涡轮增压,1.5,153,307,CVT,前驱,4545.0,1818.0,1527.0,2727.0,1536.0,6.1,,,9.6,215
28,纯电动,,239,480,单速固定齿比变速箱,四驱,4705.0,1920.0,1615.0,2894.0,1860.0,,81.7,518.0,5.3,181
29,纯电动,,221,318,单速固定齿比变速箱,后驱,4760.0,1857.0,1600.0,3030.0,2118.0,,77.3,580.0,4.7,219
30,纯电动,,289,314,单速固定齿比变速箱,后驱,4805.0,1951.0,1572.0,2950.0,2276.0,,88.9,533.0,5.5,234
31,纯电动,,395,356,单速固定齿比变速箱,后驱,4843.0,1967.0,1502.0,2992.0,1857.0,,91.2,510.0,4.9,206
32,纯电动,,374,330,单速固定齿比变速箱,四驱,4986.0,1936.0,1630.0,2899.0,1945.0,,77.4,529.0,4.1,186
33,涡轮增压,1.5,195,352,CVT,后驱,4543.0,1879.0,1530.0,2713.0,1673.0,9.1,,,8.2,219
34,纯电动,,384,316,单速固定齿比变速箱,后驱,4776.0,1921.0,1539.0,3043.0,2052.0,,86.0,552.0,3.8,240
35,涡轮增压,1.5,191,321,7DCT,前驱,4701.0,1884.0,1521.0,2706.0,1600.0,7.3,,,8.9,201
36,纯电动,,287,490,单速固定齿比变速箱,后驱,5058.0,1896.0,1569.0,2856.0,2233.0,,94.8,764.0,6.4,184
37,涡轮增压,2.0,163,296,7DCT,后驱,4948.0,1847.0,1695.0,2878.0,1855.0,7.8,,,9.2,206
38,涡轮增压,2.5,240,382,8AT,后驱,4849.0,1848.0,1684.0,2822.0,1834.0,8.6,,,8.3,207
39,涡轮增压,2.0,216,254,8AT,四驱,4604.0,1855.0,1601.0,2720.0,1732.0,6.8,,,7.2,217
40,纯电动,,212,406,单速固定齿比变速箱,四驱,5020.0,1919.0,1512.0,2870.0,1805.0,,92.3,588.0,3.7,225
41,纯电动,,216,370,单速固定齿比变速箱,四驱,4954.0,1956.0,1620.0,2873.0,2132.0,,98.3,545.0,4.0,247
42,纯电动,,358,370,单速固定齿比变速箱,四驱,4656.0,1922.0,1585.0,3018.0,1826.0,,98.3,789.0,3.9,212
43,涡轮增压,1.5,168,367,8AT,前驱,4996.0,1865.0,1675.0,2824.0,1480.0,7.5,,,7.3,202
44,纯电动,,327,483,单速固定齿比变速箱,四驱,5086.0,1977.0,1623.0,2887.0,2052.0,,92.1,510.0,3.7,205
45,纯电动,,324,432,单速固定齿比变速箱,四驱,4856.0,1964.0,1635.0,3079.0,2105.0,,66.4,716.0,4.5,241
46,涡轮增压,2.0,231,189,8AT,四驱,4948.0,1888.0,1564.0,2848.0,1521.0,9.5,,,9.3,215
47,涡轮增压,2.5,161,381,8AT,前驱,4677.0,1839.0,1501.0,2855.0,1540.0,6.2,,,9.0,198
48,涡轮增压,1.5,154,309,8AT,后驱,4710.0,1837.0,1558.0,2819.0,1706.0,6.6,,,8.0,211
49,涡轮增压,2.0,240,151,7DCT,后驱,4822.0,1925.0,1495.0,2850.0,1667.0,7.0,,,9.0,195
50,纯电动,,278,481,单速固定齿比变速箱,后驱,4903.0,1881.0,1601.0,2902.0,2096.0,,91.3,631.0,3.5,238
