model_id,brand_name,model_name,energy_type,price,overall_score,appearance_score,interior_score,power_score,space_score,fuel_score,handling_score,comfort_score,value_score,review_count
1,吉利银河,星愿,纯电动,5.98,4.8,4.8,4.8,4.7,5.0,4.7,4.8,5.0,4.9,2247
2,零跑汽车,零跑A10,纯电动,6.58,4.2,4.0,3.9,4.4,4.1,3.7,4.1,4.0,4.4,1652
3,特斯拉中国,Model Y,燃油,26.35,3.6,3.9,3.4,3.8,3.9,3.4,3.3,3.6,4.0,754
4,小米汽车,小米SU7,纯电动,21.99,3.6,3.8,3.7,3.6,3.8,3.3,3.8,3.7,4.0,2271
5,比亚迪,元UP,纯电动,6.98,4.0,3.9,3.8,3.9,4.0,3.9,4.1,3.8,3.8,3967
6,长安启源,长安启源Q05,插电混动,6.99,4.2,4.2,4.0,4.4,4.3,3.7,3.9,4.0,4.0,2676
7,理想汽车,理想i6,增程式,24.98,4.5,4.8,4.4,4.5,4.2,4.7,4.6,4.3,4.5,2868
8,一汽丰田,卡罗拉锐放,燃油,9.38,4.2,4.5,4.1,4.3,4.4,4.0,4.4,3.9,4.2,4709
9,比亚迪,海豚,纯电动,7.48,3.8,4.0,3.8,4.1,4.0,3.6,3.6,3.7,4.1,4136
10,比亚迪,宋Pro DM,插电混动,9.78,3.9,3.7,3.7,3.8,4.2,4.1,4.1,3.8,4.1,1071
11,一汽丰田,RAV4荣放,燃油,14.68,4.5,4.3,4.7,4.7,4.3,4.6,4.5,4.2,4.8,3238
12,上汽集团,MG4,纯电动,6.58,3.9,4.1,3.6,4.1,3.9,4.2,3.9,3.6,4.2,3457
13,吉利汽车,博越L,燃油,9.29,4.2,4.0,4.3,4.2,4.0,3.8,4.1,4.4,3.9,228
14,上汽大众,朗逸,燃油,6.29,4.6,4.4,4.6,4.7,4.4,4.3,4.9,4.9,4.5,3071
15,吉利汽车,星越L,燃油,12.47,3.9,3.6,4.1,3.7,4.1,3.5,3.8,3.8,3.9,3561
16,上汽通用五菱,缤果Pro,纯电动,5.68,4.2,4.0,4.2,4.3,4.2,4.0,4.2,4.0,4.0,4535
17,广汽丰田,凯美瑞,燃油,13.18,4.4,4.5,4.4,4.4,4.1,4.3,4.3,4.2,4.6,3663
18,一汽-大众,速腾,燃油,7.98,4.4,4.3,4.3,4.6,4.1,4.0,4.6,4.5,4.3,1711
19,广汽埃安,AION i60,纯电动,10.28,4.6,4.6,4.5,4.5,4.5,4.5,4.6,4.4,4.4,1014
20,方程豹,钛7 PHEV,插电混动,17.98,3.6,3.5,3.2,3.7,3.5,3.8,3.5,3.5,3.6,2231
21,奇瑞新能源,QQ3 EV,纯电动,5.89,3.9,3.8,3.6,4.1,3.8,3.9,3.9,3.8,3.7,3114
22,一汽-大众,探岳,燃油,12.99,3.8,3.8,3.5,4.1,4.0,3.9,3.8,4.0,4.1,1740
23,上汽大众,途观L,燃油,12.99,4.8,4.5,4.9,5.0,4.5,4.3,4.7,5.0,4.7,4619
24,上汽通用五菱,五菱宏光MINIEV,纯电动,3.58,3.9,4.1,3.6,3.7,4.1,3.9,3.7,4.0,3.6,1981
25,华晨宝马,宝马3系,燃油,20.6,4.5,4.4,4.2,4.5,4.3,4.2,4.4,4.4,4.7,1988
26,蔚来,蔚来ES8,纯电动,38.28,3.9,3.8,3.6,3.8,3.8,3.7,3.9,3.7,4.0,4023
27,一汽-大众,迈腾,燃油,11.99,4.2,4.0,4.2,4.0,4.3,4.1,4.2,4.4,4.3,1635
28,小鹏汽车,小鹏MONA M03,纯电动,11.98,3.7,3.7,3.4,3.7,3.5,3.7,3.8,3.5,3.5,2582
29,小米汽车,小米YU7,纯电动,23.35,3.9,4.0,3.7,3.7,4.1,3.7,4.1,4.0,3.6,1561
30,零跑汽车,零跑C10,纯电动,11.38,3.7,3.5,3.5,3.7,3.9,3.3,3.9,3.7,3.8,470
31,零跑汽车,零跑D19,纯电动,21.98,3.7,3.7,3.4,3.6,3.8,3.2,4.0,3.4,3.6,876
32,赛力斯汽车,问界M9,纯电动,47.98,4.5,4.5,4.7,4.5,4.4,4.4,4.7,4.8,4.6,4230
33,广汽丰田,锋兰达,燃油,9.38,4.1,4.1,4.2,4.0,4.4,4.3,4.3,3.8,4.2,3709
34,方程豹,钛7 EV,纯电动,19.98,4.8,5.0,4.6,4.9,5.0,4.8,5.0,5.0,5.2,3942
35,上汽大众,帕萨特,燃油,13.95,4.7,4.8,4.8,4.6,4.8,4.7,4.5,4.6,4.6,4739
36,比亚迪,元PLUS,纯电动,10.98,3.6,3.4,3.6,3.9,3.6,3.2,3.6,3.8,3.6,1115
37,吉利汽车,缤越,燃油,5.88,3.9,3.6,3.6,3.8,4.1,4.1,4.1,3.8,4.3,3289
38,北京奔驰,奔驰E级,燃油,30.5,3.7,3.5,3.4,3.7,3.9,3.9,3.6,3.5,3.6,4943
39,广汽丰田,铂智3X,燃油,9.48,3.6,3.7,3.5,3.7,3.8,3.5,3.8,3.5,3.7,2118
40,奇瑞汽车,智界V9,纯电动,38.98,3.5,3.4,3.5,3.8,3.4,3.5,3.6,3.5,3.6,248
41,比亚迪,海狮06EV,纯电动,13.78,3.7,3.6,3.6,3.9,3.6,3.4,4.0,3.7,3.6,1301
42,比亚迪,海鸥,纯电动,6.08,4.5,4.6,4.7,4.6,4.2,4.6,4.3,4.7,4.5,4732
43,广汽丰田,威兰达,燃油,13.88,4.0,4.0,4.0,4.3,4.1,3.6,4.3,3.8,4.1,2938
44,零跑汽车,零跑B10,纯电动,9.28,3.5,3.3,3.7,3.7,3.5,3.0,3.5,3.5,3.9,484
